,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
Subject03_1.edf,4.272587229,4.254318584,4.270404815,4.271098524,4.280139319,4.276887529,4.269748933,4.257633318,4.273213754,4.270094518,4.272289471,4.269761583,4.28377873,4.281748252,4.282689936,4.276677315,4.268838201,4.278203469,4.274026845,4.278907768,4.475462123
Subject30_1.edf,4.243333186,4.246000691,4.25698166,4.259081291,4.252623618,4.26282161,4.256119236,4.265877975,4.269380172,4.262156264,4.270152328,4.251198589,4.286888589,4.29045561,4.283973621,4.289442705,4.252647616,4.265107441,4.289677997,4.28258738,4.927847707
Subject27_1.edf,4.256652094,4.259418399,4.271333116,4.257738049,4.264315969,4.254931781,4.264800158,4.267042864,4.267411398,4.270412174,4.259437948,4.274852244,4.27812693,4.295224923,4.321584931,4.343443326,4.266384122,4.269685425,4.294184934,4.372210925,4.613255414
Subject06_1.edf,4.241960066,4.249926779,4.242842866,4.261749361,4.247702453,4.260862418,4.254448562,4.265063587,4.265979793,4.261900705,4.263158588,4.279141905,4.273126233,4.278980758,4.262652963,4.278665243,4.251030017,4.253429662,4.275749661,4.259186131,4.550582349
Subject04_1.edf,4.310872694,4.324798719,4.313613384,4.308943736,4.318531952,4.314232829,4.326803832,4.317730524,4.323196082,4.304156035,4.324508422,4.339589372,4.367447226,4.350956488,4.370652623,4.370953348,4.301386073,4.313663543,4.367487029,4.310874145,4.583526782
Subject34_1.edf,4.269675614,4.251073969,4.2550734,4.26271574,4.265638177,4.251557463,4.255312027,4.263044254,4.268000214,4.264575604,4.271799935,4.272161631,4.271072131,4.274679089,4.271313929,4.268652869,4.259022818,4.262870267,4.283599481,4.323859587,4.755368998
Subject35_1.edf,4.251381411,4.253556634,4.254026657,4.250583271,4.257942925,4.259518362,4.264909699,4.251971268,4.249463321,4.258524498,4.267326547,4.252040483,4.256745629,4.259958233,4.271195248,4.283082267,4.260367457,4.254609484,4.259705497,4.257991793,4.783300968
Subject33_1.edf,4.255017518,4.26089214,4.263172714,4.26857409,4.264162837,4.259008478,4.273754761,4.256923502,4.269728724,4.254012291,4.274027922,4.275596478,4.290447809,4.256637624,4.26521996,4.266703194,4.260493249,4.258756426,4.279249286,4.267121041,4.69452078
Subject07_1.edf,4.302156483,4.299162014,4.313495963,4.312193543,4.282353602,4.305017406,4.29771249,4.27403584,4.302780536,4.337369634,4.290210683,4.291827072,4.332128091,4.336960336,4.311228621,4.321933878,4.30544584,4.332545976,4.377081266,4.26454643,4.611191178
Subject05_1.edf,4.26041737,4.275118427,4.260928324,4.265537498,4.255813054,4.269882513,4.258492683,4.261006204,4.267635494,4.274972697,4.255579958,4.298063672,4.312175362,4.315222239,4.346846689,4.343572366,4.260669071,4.266643254,4.308650729,4.350630628,4.891060414
Subject09_1.edf,4.286330256,4.278220161,4.290863465,4.289469943,4.299089969,4.293278763,4.302097161,4.308560872,4.293085464,4.292214916,4.293762171,4.334701363,4.295021221,4.309888404,4.340814692,4.362825693,4.279004715,4.295542163,4.317358358,4.296139378,4.860461034
Subject08_1.edf,4.252205515,4.245983658,4.259366162,4.256172856,4.252554778,4.243479687,4.25627324,4.253375148,4.26237205,4.256003762,4.256840473,4.271555559,4.280741262,4.285125318,4.29018065,4.291876424,4.259905805,4.258869768,4.289743492,4.24433304,4.947065054
Subject31_1.edf,4.001578846,3.980799817,3.994282504,3.989555968,3.982656286,3.979236292,3.99276402,4.014382725,3.989850257,3.984396612,3.990318288,3.989234644,3.997120859,4.01636205,4.027825594,4.046948377,3.994337175,3.981227565,3.986783187,3.978776856,4.612205504
Subject17_1.edf,4.251176027,4.254822633,4.254797224,4.259850189,4.266898057,4.278814398,4.26771965,4.263362344,4.26189073,4.253742758,4.264913867,4.273904003,4.273642832,4.26979352,4.289607764,4.286876719,4.258880538,4.259007259,4.282510505,4.258223629,4.765975265
Subject22_1.edf,4.293070344,4.282339597,4.293379964,4.276663565,4.2973789,4.291897676,4.291816804,4.25986481,4.286567267,4.280077626,4.295537756,4.276370119,4.312123794,4.323130782,4.354765871,4.335116306,4.287084721,4.291451604,4.322381201,4.27872746,4.834103236
Subject00_1.edf,4.25641488,4.255355659,4.25825224,4.256086786,4.239595516,4.250297583,4.256872483,4.274193033,4.257177602,4.265540151,4.273969575,4.292745086,4.275771207,4.291448987,4.308115228,4.33105824,4.25571759,4.25898013,4.287287226,4.324815836,4.816373061
Subject23_1.edf,4.261534225,4.243196063,4.254717122,4.251484808,4.251236926,4.249063408,4.259052478,4.256287549,4.269750687,4.268042738,4.263181025,4.262023051,4.265075624,4.261325229,4.280349529,4.263196633,4.248103514,4.271386231,4.271138738,4.309165318,4.651782834
Subject11_2.edf,3.892247085,3.886995874,3.918229934,3.89934167,3.908558454,3.904332561,3.966823181,3.935227837,3.923917237,3.922882578,3.913183051,3.93294719,3.909639547,3.911927612,3.918595816,3.937560932,3.889410913,3.900711207,3.921200033,3.975946656,4.244806355
Subject12_2.edf,3.888059116,3.916285102,3.907773319,3.903209512,3.890822778,3.908323594,3.909826037,3.909998578,3.895704848,3.897086168,3.920547331,3.920686122,3.878133667,3.917137157,3.875404956,3.89210635,3.866599532,3.892226769,3.902075116,3.920009502,4.244465412
Subject10_2.edf,3.886750736,3.902690087,3.882478298,3.889272533,3.874894701,3.908568946,3.893072014,3.912981975,3.918679458,3.886789149,3.930553397,3.943644652,4.00185474,3.961100388,4.043543392,4.042410945,3.891780153,3.907792278,4.032951081,3.96197558,4.591858452
Subject02_2.edf,3.91459884,3.896649369,3.895812413,3.887793047,3.892507205,3.89711918,3.901060173,3.906302455,3.892447263,3.902391994,3.892587573,3.89964925,3.891556281,3.892422787,3.890882147,3.89414518,3.911208276,3.911301973,3.902974726,3.896892083,4.155469583
Subject18_2.edf,3.897408346,3.900359703,3.904202444,3.888414618,3.897133523,3.907802372,3.895906144,3.895260648,3.896613666,3.887343957,3.913185808,3.924538187,3.913095379,3.896912717,3.917439336,3.926212007,3.924858027,3.883807208,3.903675244,3.883728732,4.202796138
Subject16_2.edf,3.942212449,3.975010023,3.953629531,3.955799795,3.982748951,3.96482401,4.038110009,4.076593474,3.958952657,3.939089474,3.978678962,4.019685602,3.933157306,3.914211604,3.905766434,3.90602273,3.937792184,3.929261043,3.915917367,3.942300461,4.343012989
Subject19_2.edf,3.909080708,3.920213074,3.894275449,3.880585874,3.89348362,3.898003557,3.905568637,3.973465746,3.901646029,3.88889792,3.895125728,3.909658478,3.907740908,3.897225631,3.915541993,3.902106947,3.896781175,3.903868482,3.90867388,3.878170158,4.18690017
Subject17_2.edf,3.905263904,3.873871098,3.901461277,3.905697792,3.897745077,3.896231558,3.893681912,3.902285658,3.887059717,3.907854801,3.890968672,3.925126557,3.894343699,3.902118755,3.935084634,3.911079373,3.914957342,3.899675613,3.877205888,3.889733934,4.358349081
Subject21_2.edf,3.929787248,3.935241656,3.905226482,3.89645025,3.906804923,3.912630201,3.907123125,3.945811799,3.904353362,3.904936493,3.896115149,3.917495421,3.900186414,3.900774771,3.895408043,3.907742352,3.897034412,3.905836591,3.907353885,3.959205318,4.274938447
Subject23_2.edf,3.887658085,3.87604205,3.892328552,3.905550799,3.88198296,3.898226056,3.905999618,3.914597325,3.892273742,3.921673438,3.908465676,3.915845069,3.923515373,3.942949203,3.927387701,3.92048074,3.904180428,3.905803289,3.91843466,3.94741529,4.263558812
Subject26_2.edf,3.932910285,3.910600851,3.887614965,3.930843007,3.939880938,3.919665542,3.900930255,3.924861305,3.896983288,3.912129501,3.887842439,3.941859365,3.903802016,3.939700873,3.957696434,3.960080465,3.898935712,3.91349313,3.897759681,3.970474868,4.540873111
Subject22_2.edf,3.921705559,3.905440266,3.93753676,3.904847569,3.935287067,3.902951952,3.915643741,3.94357305,3.93043133,3.921083583,3.907115149,3.942419554,3.925780163,3.95689556,3.979973109,3.998872022,3.908319397,3.927461582,3.967011791,3.921207225,4.449940338
Subject25_2.edf,3.928369509,3.937227648,3.893317818,3.910039476,3.91783136,3.894402487,3.893898445,3.921226936,3.899106335,3.889128666,3.858824824,3.89523697,3.839499648,3.822913098,3.882116576,3.847527118,3.90731571,3.90497934,3.859337681,3.963350854,4.410118926
Subject24_2.edf,3.901612241,3.908469995,3.91496436,3.910211771,3.909201326,3.887327727,3.906324323,3.946027508,3.905012066,3.906628484,3.903118266,3.911331284,3.907239167,3.910299094,3.905761054,3.898112727,3.919023059,3.905489047,3.913626215,3.907946578,4.513872373
Subject32_2.edf,3.904228064,3.903878152,3.933856389,3.904493578,3.935755263,3.909675557,3.924480773,3.923971018,3.92889269,3.889507819,3.908174579,3.874292668,3.892064115,3.90440005,3.905034076,3.904852945,3.911228072,3.901202238,3.90428955,3.944094789,4.451893053
Subject30_2.edf,3.888469447,3.899202078,3.882228507,3.894673654,3.884645746,3.902613032,3.891656971,3.909129517,3.908120155,3.942380032,3.91430581,3.878776432,3.920940828,3.911742019,3.948059785,3.924336365,3.893777725,3.93128841,3.922529143,3.893750402,4.496930649
Subject33_2.edf,3.886341939,3.875720113,3.887568779,3.886047045,3.905069566,3.914562665,3.906063125,3.906358935,3.905101414,3.913795929,3.895339765,3.92107142,3.916354689,3.933540487,3.896886741,3.90582676,3.889665625,3.897982767,3.914114394,3.907512768,4.24595799
Subject27_2.edf,3.921954715,3.911789572,3.924325798,3.935193654,3.951331794,4.000402037,3.959946138,4.061538963,3.91482041,3.926478458,3.931853878,3.945858522,3.901170022,3.9159896,3.901539854,3.948715039,3.924251732,3.904115097,3.909071925,3.996329053,4.286542127
Subject28_2.edf,3.89710863,3.900010701,3.915774264,3.895905913,3.900676341,3.907883644,3.900767767,3.884947851,3.901414843,3.896512802,3.907139576,3.908055141,3.920110936,3.900252648,3.927754897,3.898511732,3.9124132,3.907999716,3.901679888,3.916816536,4.23230703
Subject29_2.edf,3.90392068,3.891838048,3.88910361,3.896524712,3.885114094,3.903148265,3.902216054,3.9040632,3.881789353,3.902681113,3.912301555,3.938256757,3.902584813,3.896377748,3.896663614,3.889387837,3.901366953,3.891975143,3.899689512,3.917139393,4.25494008
Subject07_2.edf,3.902856068,3.909987624,3.917282963,3.92243245,3.893300934,3.931510741,3.907751448,3.906052677,3.912527632,3.957052452,3.918998751,3.915612466,3.948873549,3.97753384,3.96251875,3.998665618,3.91099558,3.915360369,3.984973779,3.89759295,4.212773516
Subject34_2.edf,3.907029547,3.905670078,3.902865056,3.901204838,3.885863197,3.897886786,3.921291378,3.886471312,3.906527085,3.887925902,3.930249922,3.899317999,3.904157304,3.894403986,3.903712703,3.882448945,3.904622663,3.900783417,3.895987425,3.91315411,4.350951865
Subject08_2.edf,3.882237367,3.89268154,3.898643566,3.889619353,3.899727739,3.885376751,3.88905142,3.884543337,3.900973204,3.883755834,3.904576882,3.909614938,3.926383496,3.898354451,3.913643873,3.912184041,3.888620774,3.888606684,3.917886311,4.024385193,4.532624823
Subject04_2.edf,3.880563157,3.91779077,3.889408576,3.906941472,3.88686616,3.915272394,3.885112196,3.903251669,3.921588875,3.909434599,3.876679895,3.900386831,3.879199924,3.9021213,3.922222758,3.918235314,3.899697317,3.904530225,3.905557624,3.888652527,4.30079026
Subject06_2.edf,3.899261387,3.889551509,3.885954905,3.895976588,3.901335885,3.88243713,3.878399069,3.885223604,3.889791576,3.901900895,3.889723505,3.886269733,3.89474469,3.900824029,3.899897692,3.900417684,3.880727805,3.898876447,3.893633604,3.889214932,4.180406524
Subject09_2.edf,3.911651026,3.907069958,3.898702328,3.902816226,3.91079872,3.915288188,3.90972081,3.920009603,3.91407225,3.922174679,3.904721071,3.979350361,3.934030509,3.942818456,3.962582444,3.975816548,3.893802138,3.922507824,3.936676762,3.907899469,4.4491268
Subject01_2.edf,3.944099505,3.923704825,3.924056772,3.898972048,3.929660933,3.896467336,3.921060199,3.910087476,3.908556251,3.903083451,3.930836591,3.915865449,3.934092274,3.959269755,3.93506888,3.93718669,3.92561847,3.907219294,3.925294409,3.949562635,4.106337534
Subject35_2.edf,3.881894909,3.911077486,3.893107158,3.896733522,3.904409469,3.907285026,3.897715048,3.894462982,3.900060248,3.891207159,3.903911759,3.895048657,3.899353958,3.904663262,3.910014568,3.904858846,3.899755521,3.893545281,3.9100691,3.948448346,3.909216051
Subject05_2.edf,3.918844019,3.893086697,3.907470327,3.911270153,3.908790078,3.886531535,3.924160245,3.908894694,3.932203264,3.932871786,3.909031612,3.944409724,3.95184648,3.968039252,3.961134247,3.956551003,3.906782788,3.927035194,3.936622291,3.942994871,4.547237494
Subject20_2.edf,3.888169648,3.894129065,3.907067798,3.892045909,3.902821774,3.889364344,3.909152659,3.89494154,3.886901804,3.895783413,3.898541624,3.895901053,3.896147081,3.913447746,3.905057735,3.902149762,3.894048549,3.893304971,3.900584034,3.887978651,3.931066542
Subject03_2.edf,3.911985861,3.893912078,3.899768663,3.897931809,3.911254694,3.901122452,3.910821575,3.904309428,3.907147645,3.905115918,3.909043699,3.943126765,3.939041239,3.946747391,3.929159428,3.969160777,3.897693263,3.915333536,3.895545474,3.908791413,4.077165396
Subject15_2.edf,3.928952557,3.90106523,3.92866742,3.911546514,3.891814569,3.917352782,3.9446341,3.93605131,3.952796912,3.950840425,3.950890374,3.952152803,4.009280263,4.054525971,4.103078257,4.087210634,3.914917953,3.937847805,4.06416334,3.895146422,4.391719048
Subject14_2.edf,3.915987714,3.923579219,3.905464807,3.90091473,3.938904382,3.894723346,3.914972296,3.886566167,3.922819698,3.907010792,3.942711191,3.903811185,3.903471221,3.899884003,3.916835102,3.912505176,3.904331039,3.900348607,3.892290746,3.927851346,4.184282354
Subject00_2.edf,3.912895585,3.909080124,3.911741995,3.917350793,3.915656408,3.89996899,3.936348532,3.920611531,3.91444355,3.895275788,3.924988821,3.930074704,3.927398439,3.933987161,3.969019232,4.01479009,3.919813894,3.904860639,3.925368111,3.946467479,4.296026676
Subject13_2.edf,3.902799853,3.888296973,3.895761265,3.88923644,3.889087346,3.887772473,3.905994505,3.899867576,3.890194218,3.887893745,3.891021969,3.887493265,3.894729065,3.882042838,3.91186483,3.872949092,3.883960223,3.894865122,3.890538194,3.898042056,4.159050514
Subject31_2.edf,3.949812273,3.945272491,3.982085861,3.933108877,3.968986388,3.959929103,3.96804003,3.954407849,3.96197915,3.929137419,3.960839975,3.936901586,3.947616234,3.939679016,3.970084059,3.981626418,3.94129324,3.94432331,3.945113259,3.955571976,4.305199355
