,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
Subject21_1,-2.112091481,-2.134434602,-2.105868491,-2.108044579,-2.138013664,-2.13448151,-2.11087185,-2.107610744,-2.10520072,-2.104616352,-2.121696557,-2.113159261,-2.099264651,-2.103232297,-2.085920676,-2.088239357,-2.11171023,-2.108077192,-2.104252473,-2.109327396,-2.08519662
Subject29_1,-2.109176189,-2.10853154,-2.089402347,-2.09316832,-2.113217214,-2.117553248,-2.085400731,-2.083299723,-2.086728773,-2.083162972,-2.084877962,-2.061646422,-2.063771069,-2.060907103,-2.053062122,-2.050744181,-2.086266706,-2.084241569,-2.060384261,-2.116064529,-2.128597027
Subject32_1,-2.100875784,-2.097396703,-2.088959293,-2.089011991,-2.112104641,-2.115825822,-2.08858149,-2.076957128,-2.085003685,-2.083760125,-2.106573488,-2.067993357,-2.098547369,-2.081159607,-2.171394241,-2.142423083,-2.086629686,-2.089654245,-2.092983547,-2.138357903,-2.093314365
Subject28_1,-2.108732863,-2.10470701,-2.106647355,-2.108045243,-2.098666889,-2.123345641,-2.098471581,-2.106528355,-2.104040863,-2.101754779,-2.094470994,-2.100448415,-2.088603995,-2.0850713,-2.07858515,-2.066192261,-2.10698973,-2.114212351,-2.086122126,-2.124762369,-2.1506103
Subject03_1,-2.123678383,-2.116777637,-2.087661045,-2.087187336,-2.116585306,-2.101875762,-2.097394922,-2.099108573,-2.084413622,-2.082214939,-2.091511348,-2.07957615,-2.076713431,-2.071989475,-2.061114269,-2.071616684,-2.085847167,-2.07129901,-2.061821541,-2.106332892,-2.149278967
Subject30_1,-2.124213209,-2.130570052,-2.118682475,-2.117352878,-2.12669696,-2.137845677,-2.124274648,-2.118956986,-2.093185636,-2.102785363,-2.121001288,-2.140911181,-2.079936401,-2.069029559,-2.078831604,-2.070402554,-2.120426774,-2.10660544,-2.072574101,-2.148904329,-2.11645003
Subject27_1,-2.143162395,-2.186753695,-2.106594042,-2.122676524,-2.142294957,-2.180968031,-2.119499245,-2.148119728,-2.113005189,-2.117216188,-2.128096377,-2.124548881,-2.111835136,-2.106687531,-2.087299288,-2.082468913,-2.104866831,-2.113864772,-2.107266588,-2.170094988,-2.12881948
Subject06_1,-2.135207297,-2.136149821,-2.136884483,-2.126763101,-2.146293257,-2.127914847,-2.13696286,-2.10907618,-2.127069815,-2.114232035,-2.168707664,-2.104563036,-2.140056357,-2.103547894,-2.198804461,-2.13005648,-2.127549187,-2.122015514,-2.117959044,-2.160369388,-2.123785582
Subject04_1,-2.113205629,-2.125764181,-2.109477289,-2.110821426,-2.110736709,-2.119936461,-2.120093363,-2.111093484,-2.110858804,-2.118821353,-2.115573632,-2.099418806,-2.101592388,-2.093977122,-2.098285587,-2.095085588,-2.111686227,-2.115496343,-2.097932817,-2.124126106,-2.160517988
Subject34_1,-2.130130525,-2.147937637,-2.112323183,-2.111219181,-2.127889126,-2.130985957,-2.09120741,-2.112608893,-2.109278813,-2.108370123,-2.099038707,-2.117883972,-2.092161268,-2.103448323,-2.109567764,-2.168388321,-2.111962089,-2.116127353,-2.094461214,-2.192935684,-2.101270614
Subject35_1,-2.154316817,-2.173260453,-2.155359919,-2.160578145,-2.172824211,-2.174016633,-2.144385087,-2.174813433,-2.165226768,-2.166560344,-2.180733124,-2.162262397,-2.155054413,-2.154611544,-2.130640123,-2.134424902,-2.158347828,-2.166086179,-2.151091466,-2.190810666,-2.127006316
Subject33_1,-2.112239481,-2.105832432,-2.098593218,-2.096421493,-2.113742021,-2.104742177,-2.102631964,-2.098967044,-2.09013778,-2.095081306,-2.089679007,-2.06559386,-2.063238054,-2.060001471,-2.05246459,-2.057537215,-2.095350161,-2.096544331,-2.06253999,-2.120720357,-2.123931755
Subject07_1,-2.199609137,-2.197083695,-2.158788298,-2.159123268,-2.185888498,-2.201414925,-2.132673278,-2.164201944,-2.130163016,-2.115168063,-2.156791655,-2.129110455,-2.094473344,-2.099011796,-2.104502627,-2.105080457,-2.121337706,-2.104042894,-2.082047287,-2.242339871,-2.188549905
Subject05_1,-2.134239613,-2.172680631,-2.108277942,-2.102453476,-2.123406903,-2.14085357,-2.116460591,-2.108796783,-2.103442241,-2.093446904,-2.167270728,-2.093656256,-2.078600684,-2.071287455,-2.059283628,-2.057121949,-2.109518965,-2.097115565,-2.077034056,-2.118307681,-2.082879271
Subject09_1,-2.174733851,-2.149694831,-2.102641261,-2.098438108,-2.184168071,-2.150080859,-2.128134563,-2.116726965,-2.094822937,-2.088009108,-2.130109814,-2.1127164,-2.099792225,-2.084446415,-2.092511507,-2.083573387,-2.089846434,-2.085372745,-2.079709197,-2.181866949,-2.098724118
Subject08_1,-2.1431656,-2.179161445,-2.104975638,-2.115247321,-2.117637415,-2.144737955,-2.115131957,-2.110353648,-2.102433362,-2.105792973,-2.11108139,-2.107296913,-2.091139077,-2.09163056,-2.081894202,-2.084096019,-2.100631424,-2.10275035,-2.087920437,-2.178143755,-2.063175927
Subject31_1,-2.198458426,-2.15476605,-2.137755218,-2.135518367,-2.154661458,-2.156909907,-2.136232249,-2.122948498,-2.126998497,-2.132064201,-2.138956022,-2.135297572,-2.122061395,-2.120060591,-2.107467326,-2.095566607,-2.134427634,-2.132512621,-2.121635674,-2.262344461,-2.061326421
Subject17_1,-2.190337852,-2.266291518,-2.169191029,-2.155382245,-2.194012913,-2.191696917,-2.176991985,-2.162518436,-2.151599351,-2.152939437,-2.17462355,-2.121016917,-2.136478272,-2.129731314,-2.110006911,-2.114995282,-2.151702837,-2.150134535,-2.142516854,-2.29177941,-2.094645985
Subject22_1,-2.118437685,-2.113384926,-2.106254279,-2.081649153,-2.115453978,-2.124001843,-2.107799863,-2.095861008,-2.10173408,-2.100933084,-2.109512426,-2.102671804,-2.089868372,-2.085342287,-2.06422057,-2.074581976,-2.105104054,-2.104564757,-2.082227182,-2.122438013,-2.097300005
Subject00_1,-2.102271323,-2.119335183,-2.101886246,-2.09736119,-2.124165049,-2.123678558,-2.106165704,-2.09316786,-2.103612203,-2.101053029,-2.095912872,-2.083576766,-2.09228727,-2.080617551,-2.087658095,-2.068726648,-2.096759858,-2.099807438,-2.090960932,-2.083731928,-2.059222747
Subject23_1,-2.085717461,-2.135155145,-2.090858251,-2.084699637,-2.070291664,-2.108578436,-2.080546953,-2.133581891,-2.079049074,-2.080739621,-2.074603714,-2.073922991,-2.065168393,-2.065675795,-2.049401302,-2.04981724,-2.080329938,-2.079797356,-2.065893374,-2.106553289,-2.110096958
Subject11_2,-2.303040695,-2.338579342,-2.210394314,-2.213020823,-2.20166187,-2.267715864,-2.188370275,-2.216737741,-2.193530796,-2.237822507,-2.219214605,-2.219999115,-2.20818698,-2.199491347,-2.208274,-2.214786131,-2.203518579,-2.212116775,-2.204939132,-2.246057496,-2.193576724
Subject12_2,-2.231734567,-2.198140238,-2.169815117,-2.14138231,-2.234081959,-2.200131077,-2.161021359,-2.116067735,-2.116372071,-2.098652152,-2.164497161,-2.089524738,-2.081401702,-2.070192797,-2.050535506,-2.056945109,-2.153593681,-2.112860192,-2.061414299,-2.27183027,-2.111228268
Subject10_2,-2.164144026,-2.164014301,-2.142284986,-2.156846037,-2.165358975,-2.151116819,-2.133167081,-2.121774382,-2.109548983,-2.11231688,-2.135513676,-2.113535778,-2.081530337,-2.074130687,-2.071529032,-2.067077253,-2.124950293,-2.119209722,-2.077151976,-2.150695004,-2.078751659
Subject02_2,-2.27290301,-2.214592355,-2.193344842,-2.189318741,-2.274095436,-2.239668844,-2.234909667,-2.21191747,-2.161194676,-2.146756404,-2.239159728,-2.227365705,-2.145063552,-2.130922093,-2.162512469,-2.122431102,-2.157271342,-2.143665478,-2.132921411,-2.222833144,-2.198329645
Subject18_2,-2.165378173,-2.163500639,-2.147892864,-2.150551361,-2.17441811,-2.134906997,-2.154414073,-2.147227634,-2.11788731,-2.150621817,-2.210195282,-2.193290751,-2.146362567,-2.162218669,-2.165905667,-2.163523702,-2.161420363,-2.149676266,-2.15671307,-2.19866433,-2.099483707
Subject16_2,-2.217834121,-2.239851455,-2.217383447,-2.233926545,-2.260634166,-2.238867983,-2.279731343,-2.316039103,-2.198736507,-2.203158043,-2.214326898,-2.310370367,-2.164497332,-2.165185976,-2.137469012,-2.132064088,-2.193064817,-2.181119626,-2.152152603,-2.244079494,-2.079452277
Subject19_2,-2.210568283,-2.246889068,-2.160508745,-2.179957582,-2.175316167,-2.288166477,-2.163097891,-2.320388407,-2.153608349,-2.182327928,-2.163185365,-2.1456082,-2.126966355,-2.129579014,-2.135635398,-2.152788171,-2.162173177,-2.155744868,-2.134170169,-2.242780348,-2.156666836
Subject17_2,-2.168288278,-2.21809991,-2.154523876,-2.13560299,-2.180549827,-2.166653065,-2.181074436,-2.143696449,-2.146418025,-2.153527621,-2.213574757,-2.100681314,-2.148333153,-2.128326981,-2.116706001,-2.125011255,-2.131710522,-2.138911683,-2.14592825,-2.265639814,-2.081801779
Subject21_2,-2.128819374,-2.139080412,-2.11000309,-2.130904355,-2.116067932,-2.140066397,-2.112615529,-2.115621446,-2.114608883,-2.11485413,-2.105994519,-2.1242049,-2.10686307,-2.120550736,-2.085321485,-2.092338931,-2.124825493,-2.11884605,-2.121112664,-2.12485715,-2.093718971
Subject23_2,-2.089032301,-2.16140278,-2.090987964,-2.091046565,-2.089763657,-2.123488241,-2.092125821,-2.146585955,-2.093749914,-2.093150908,-2.089924605,-2.114670788,-2.082180442,-2.082169216,-2.05902957,-2.057141947,-2.087924323,-2.092545762,-2.079782294,-2.13556214,-2.118690389
Subject26_2,-2.140621694,-2.125841378,-2.115540099,-2.131880189,-2.136646243,-2.127120965,-2.121731953,-2.124497744,-2.113635465,-2.107735066,-2.109332858,-2.112495843,-2.093126084,-2.100880436,-2.068185355,-2.067159703,-2.114671936,-2.111204787,-2.106206239,-2.202141776,-2.097330105
Subject22_2,-2.132497963,-2.128443939,-2.106913153,-2.095410656,-2.125413031,-2.128809478,-2.130238521,-2.158546207,-2.112972631,-2.110892063,-2.148907483,-2.115965361,-2.118846226,-2.110326607,-2.104219767,-2.096376086,-2.105273832,-2.109648968,-2.10706042,-2.153250845,-2.096126814
Subject25_2,-2.102383852,-2.089755995,-2.086484663,-2.079834978,-2.137698667,-2.1258576,-2.088589772,-2.132412131,-2.063418236,-2.058807199,-2.071500396,-2.08455974,-2.049285082,-2.048017265,-2.063450364,-2.053939666,-2.07716817,-2.060280838,-2.049668398,-2.166835441,-2.107558636
Subject24_2,-2.200921452,-2.219608768,-2.182287958,-2.179057799,-2.195578415,-2.19937806,-2.186317779,-2.206585587,-2.165805755,-2.172104488,-2.193227946,-2.176171996,-2.134183183,-2.104921592,-2.148003348,-2.092198867,-2.185781827,-2.173530272,-2.117137576,-2.300411307,-2.070473124
Subject32_2,-2.164413814,-2.142558359,-2.135423157,-2.121169587,-2.173407001,-2.171215754,-2.150168268,-2.130762358,-2.124931568,-2.108599537,-2.162390402,-2.089512827,-2.138791037,-2.110460127,-2.232500956,-2.192368534,-2.117535973,-2.111005507,-2.121406059,-2.168716949,-2.109012858
Subject30_2,-2.129294853,-2.1364621,-2.128823954,-2.130315286,-2.13246816,-2.135036522,-2.126276762,-2.129326476,-2.101134773,-2.124422344,-2.144241652,-2.160358362,-2.093930041,-2.092625939,-2.105008697,-2.085045847,-2.130002626,-2.119299343,-2.096113876,-2.188219948,-2.118968647
Subject33_2,-2.135719049,-2.154783341,-2.120707651,-2.120738978,-2.145215896,-2.15069566,-2.146647845,-2.131032501,-2.123120156,-2.1229896,-2.153439328,-2.107988629,-2.117017007,-2.101562584,-2.098380201,-2.098122415,-2.120266764,-2.129754733,-2.11166224,-2.13317451,-2.139265806
Subject27_2,-2.216136255,-2.262973384,-2.148288418,-2.173849182,-2.209977958,-2.270456175,-2.168429751,-2.225326077,-2.156853603,-2.166407196,-2.198895825,-2.189289479,-2.161585396,-2.178759735,-2.154474699,-2.147389353,-2.136064269,-2.154059564,-2.1615712,-2.236084678,-2.123790002
Subject28_2,-2.150750911,-2.146813009,-2.114118534,-2.123143431,-2.177317682,-2.136243974,-2.136509119,-2.123862015,-2.111538427,-2.112598683,-2.121310695,-2.130290889,-2.110598448,-2.108255963,-2.108733424,-2.088351504,-2.122714337,-2.115023948,-2.109356629,-2.201504248,-2.156695722
Subject29_2,-2.184299239,-2.181423445,-2.111789733,-2.116271801,-2.15332469,-2.14981763,-2.111098239,-2.10906263,-2.102515686,-2.09535395,-2.09870995,-2.075426647,-2.073833094,-2.067592088,-2.06030044,-2.057884379,-2.109168072,-2.09724157,-2.06521391,-2.199489136,-2.16765574
Subject07_2,-2.185673969,-2.220651669,-2.196191065,-2.203687172,-2.207054339,-2.278566554,-2.183110222,-2.221798506,-2.168797399,-2.14782101,-2.19762655,-2.166561076,-2.127801143,-2.134481941,-2.129645864,-2.132577533,-2.158064207,-2.137556517,-2.119395247,-2.244364515,-2.204460727
Subject34_2,-2.158877132,-2.16762408,-2.124780891,-2.125914183,-2.146385818,-2.147349775,-2.101229244,-2.130043148,-2.126323849,-2.12743172,-2.114858042,-2.136220624,-2.120486848,-2.131815284,-2.144921116,-2.207975462,-2.126309358,-2.13780413,-2.122377858,-2.151216428,-2.100322984
Subject08_2,-2.14188661,-2.144572643,-2.119989,-2.129293385,-2.134478601,-2.137689424,-2.138892782,-2.133960049,-2.121832525,-2.121951966,-2.132791279,-2.132115603,-2.114988851,-2.109201594,-2.104000777,-2.099923916,-2.115234524,-2.116050909,-2.109194133,-2.105697224,-2.061039524
Subject04_2,-2.114412066,-2.104867148,-2.101761867,-2.098069023,-2.117249848,-2.104441054,-2.103755184,-2.104917062,-2.097429553,-2.095364192,-2.110181308,-2.094916971,-2.089586014,-2.090091683,-2.094694958,-2.096165637,-2.096124626,-2.097183102,-2.095698362,-2.142338865,-2.10419867
Subject06_2,-2.191520567,-2.208932784,-2.204773296,-2.176281472,-2.204038613,-2.190384681,-2.222519638,-2.203902076,-2.197610185,-2.198507231,-2.283487909,-2.191841139,-2.230161985,-2.209089389,-2.264592806,-2.20555801,-2.180433074,-2.193284377,-2.210373154,-2.192850252,-2.145192044
Subject09_2,-2.198712943,-2.189581951,-2.140699987,-2.133465305,-2.158191721,-2.163711559,-2.177624982,-2.155758388,-2.129981934,-2.123022508,-2.173767485,-2.156938564,-2.13921386,-2.119794372,-2.135016137,-2.124813953,-2.122859795,-2.122606354,-2.11844312,-2.183592391,-2.09728068
Subject01_2,-2.175242189,-2.168109748,-2.135600504,-2.139064168,-2.155600272,-2.159572248,-2.190733545,-2.150777273,-2.136321702,-2.136259832,-2.141552646,-2.154971315,-2.128544276,-2.130170104,-2.143211157,-2.124924605,-2.125724643,-2.131371556,-2.14973779,-2.230841915,-2.240115511
Subject35_2,-2.229454053,-2.218859408,-2.215339892,-2.198866405,-2.235243952,-2.221870869,-2.236548605,-2.220169804,-2.22743894,-2.219779388,-2.23076237,-2.207628246,-2.21954899,-2.217445736,-2.203768576,-2.203777272,-2.186157698,-2.214733253,-2.216282098,-2.328353628,-2.174916339
Subject05_2,-2.190683112,-2.162121243,-2.123292735,-2.128477154,-2.157017705,-2.148486141,-2.133938705,-2.14659886,-2.129728801,-2.123397824,-2.173681758,-2.113293485,-2.107387909,-2.096851435,-2.06555306,-2.059924506,-2.13379641,-2.134039479,-2.10316026,-2.203921765,-2.076743487
Subject20_2,-2.214065997,-2.186683522,-2.1275183,-2.12643336,-2.205228616,-2.193408681,-2.087123304,-2.141077658,-2.123888379,-2.123152783,-2.102276882,-2.131570498,-2.115732481,-2.117219586,-2.11558848,-2.114623892,-2.103235591,-2.119689022,-2.139386031,-2.216513283,-2.131794349
Subject03_2,-2.147491583,-2.153862288,-2.106783553,-2.102191804,-2.124053552,-2.119574177,-2.114815943,-2.115055392,-2.091482954,-2.089623312,-2.119718999,-2.088864648,-2.096313321,-2.100977762,-2.086153762,-2.094326097,-2.106513817,-2.09831856,-2.072483815,-2.123803758,-2.169669527
Subject15_2,-2.115772297,-2.122164166,-2.101842754,-2.10292289,-2.139676167,-2.126203683,-2.112690255,-2.117962764,-2.107250703,-2.103398693,-2.108595268,-2.098012681,-2.081528446,-2.083362682,-2.08025035,-2.077921212,-2.101161534,-2.102575242,-2.082820814,-2.191008501,-2.091815514
Subject14_2,-2.195453843,-2.149159218,-2.131183739,-2.12470326,-2.150241119,-2.152781467,-2.14999997,-2.1209396,-2.13810604,-2.139547272,-2.153603473,-2.117852648,-2.123373049,-2.113395245,-2.127872733,-2.129625556,-2.129340525,-2.146802043,-2.13218422,-2.241862002,-2.189880042
Subject00_2,-2.134206069,-2.130047484,-2.110953876,-2.104447695,-2.143327806,-2.14670037,-2.123332846,-2.112268174,-2.109721801,-2.107546679,-2.120598242,-2.104324169,-2.113097418,-2.103387373,-2.098034928,-2.079881148,-2.103133848,-2.103941864,-2.115936821,-2.159127632,-2.073406279
Subject13_2,-2.139284195,-2.128094734,-2.124460932,-2.125992415,-2.122974017,-2.130064028,-2.130509803,-2.12638484,-2.118909716,-2.119488105,-2.149332618,-2.13563641,-2.134335353,-2.122687059,-2.12908378,-2.142734583,-2.120641675,-2.115578365,-2.123380728,-2.168694471,-2.157883439
Subject31_2,-2.215334408,-2.165695321,-2.180878631,-2.154918124,-2.2211301,-2.188323309,-2.180761493,-2.167554613,-2.137052116,-2.140120676,-2.176682892,-2.190472697,-2.148560171,-2.143702537,-2.152073016,-2.126905588,-2.148208371,-2.136461895,-2.15252082,-2.287191041,-2.104590858
